CountryName,CountryCode,Lat,Long,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Switzerland,CHE,47,8,6946000,6730000,7039000,7185000,7154000,7821000,7455000,6868000,6530000,0,7229000,7863000,8448000,8608000,8294000,8628000,8534000,8566000,8967000,9158000,9305000,9205000,9889000
Chile,CHL,-30,-71,1540000,1450000,1644000,1759000,1632000,1742000,1723000,1412000,1614000,1785000,2027000,2253000,2507000,2710000,2760000,2801000,3137000,3554000,3576000,3674000,4478000,5641000,6450000
China,CHN,35,105,20034000,22765000,23770000,25073000,27047000,31229000,33167000,36803000,32970000,41761000,46809000,49913000,54720000,53049000,50875000,55664000,57581000,57725000,55686000,55622000,56886000,59270000,60740000
Cote d'Ivoire,CIV,8,-5,0,0,0,0,0,0,0,0,0,0,0,0,182000,205000,231000,252000,270000,289000,380000,471000,1441000,1583000,1800000
Cameroon,CMR,6,12,0,0,0,0,0,0,0,0,0,190000,176000,451000,477000,487000,498000,573000,604000,817000,783000,822000,897000,994000,0
Democratic Republic of Congo,COD,0,25,35000,37000,30000,53000,80000,103000,55000,28000,35000,36000,61000,55000,47000,50000,53000,81000,186000,167000,191000,334000,354000,351000,0
Congo Republic,COG,-1,15,37000,39000,27000,20000,14000,19000,27000,22000,23000,31000,35000,46000,55000,62000,94000,101000,168000,204000,231000,273000,363000,224000,206000
Colombia,COL,4,-72,1399000,631000,639000,674000,546000,557000,616000,567000,625000,791000,933000,2045000,2254000,2317000,2364000,1405000,2042000,2175000,2288000,2552000,2978000,3317000,4113000
Comoros,COM,-12.1667,44.25,23000,24000,26000,27000,24000,24000,19400,18900,20600,23300,25900,28500,15200,14800,11300,15300,18800,22800,21900,22800,23600,26800,28000
Cabo Verde,CPV,16,-24,28000,37000,45000,52000,67000,115000,134000,126000,150000,157000,198000,242000,267000,285000,287000,336000,428000,482000,503000,494000,520000,598000,668000
Costa Rica,CRI,10,-84,785000,781000,811000,943000,1032000,1088000,1131000,1113000,1239000,1453000,1679000,1725000,1980000,2089000,1923000,2100000,2192000,2343000,2428000,2527000,2660000,2925000,2960000
Cuba,CUB,21.5,-80,742000,999000,1153000,1390000,1561000,1741000,1736000,1656000,1847000,2017000,2261000,2150000,2119000,2316000,2405000,2507000,2688000,2823000,2839000,2981000,3506000,3975000,4594000
Cayman Islands,CYM,19.5,-80.5,361000,373000,381000,404000,395000,354000,334000,303000,294000,260000,168000,267000,292000,303000,272000,288000,309000,322000,345000,383000,385000,385000,418000
Cyprus,CYP,35,33,2100000,1950000,2088000,2223000,2434000,2686000,2697000,2418000,2303000,2349000,2470000,2401000,2416000,2404000,2141000,2173000,2392000,2465000,2405000,2441000,2659000,3187000,3652000
Czech Republic,CZE,49.75,15.5,3381000,4558000,4976000,5482000,5610000,4773000,5405000,4743000,5076000,6061000,6336000,6435000,6680000,6649000,6032000,6334000,6715000,7647000,7852000,8096000,8707000,9321000,10160000
Germany,DEU,51,9,14847000,15205000,15837000,16511000,17116000,18983000,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000,37452000
Djibouti,DJI,11.5,43,21000,20000,20000,21000,21000,20100,21600,22500,23200,26300,30200,39500,40000,54000,58000,51000,56000,60000,63000,0,0,0,0
Dominica,DMA,15.4167,-61.3333,60000,63000,65000,66000,74000,70000,66000,69000,73000,80000,79000,84000,81000,81000,75000,77000,76000,79000,78000,81500,75000,78000,72000
Denmark,DNK,56,10,0,2125000,2158000,2073000,2023000,3535000,3684000,3436000,3474000,4421000,9587000,9630000,9832000,9564000,9265000,9425000,8471000,8443000,8557000,10267000,10424000,10781000,11743000
Dominican Republic,DOM,19,-70.6667,1776000,1926000,2211000,2309000,2649000,2978000,2882000,2811000,3282000,3450000,3691000,3965000,3980000,3980000,3992000,4125000,4306000,4563000,4690000,5141400,5600000,5959300,6188000
Algeria,DZA,28,3,520000,605000,635000,678000,749000,866000,901000,988000,1166000,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,2634000,2733000,2301000,1710000,2039000,2451000
Ecuador,ECU,-2,-77.5,440000,494000,529000,511000,518000,627000,641000,683000,761000,819000,860000,841000,937000,1005000,968000,1047000,1141000,1272000,1364000,1557000,1544000,1418000,1608000
Egypt,EGY,27,30,2871000,3528000,3656000,3213000,4490000,5116000,4357000,4906000,5746000,7795000,8244000,8646000,10610000,12296000,11914000,14051000,9497000,11196000,9174000,9628300,9139000,5258000,8157000
Eritrea,ERI,15,39,315000,417000,410000,188000,57000,70000,113000,101000,80000,87000,83000,78000,81000,70000,79000,84000,107000,129000,141000,119000,114000,142000,0
Spain,ESP,40,-4,32971000,34027000,39553000,41892000,45440000,46403000,48565000,50331000,50854000,52430000,55914000,58004000,58666000,57192000,52178000,52677000,56177000,57464000,60675000,64939000,68175000,75315000,81786000
Estonia,EST,59,26,530000,665000,730000,825000,950000,1220000,1320000,1362000,1462000,1750000,1917000,1940000,1900000,2222000,2180000,2511000,2823000,2957000,3111000,3160000,2961000,3131000,3245000
Ethiopia,ETH,8,38,103000,109000,139000,112000,115000,136000,148000,156000,180000,184000,227000,330000,358000,383000,427000,468000,523000,597000,681000,770000,864000,871000,933000
Finland,FIN,64,26,1779000,1724000,1832000,1867000,1831000,1971000,1999000,2043000,2047000,2083000,2080000,2317000,2472000,2494000,2220000,2319000,2623000,2778000,2797000,2731000,2622000,2789000,3180000
Fiji,FJI,-18,175,318000,340000,359000,371000,410000,294000,348000,398000,431000,504000,545000,549000,540000,585000,542000,632000,675000,661000,659000,693000,755000,792000,843000
France,FRA,46,2,60033000,62406000,66591000,70109000,73147000,77190000,75202000,77012000,75048000,74433000,74988000,77916000,80853000,79218000,76764000,76647000,80499000,81980000,83634000,83701000,84452000,82682000,86861000
Faroe Islands,FRO,62,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal States of Micronesia,FSM,6.9167,158.25,0,17600,17200,13400,16100,20500,15300,19100,18200,19300,19000,19100,21100,25700,47500,44700,35400,38300,42100,35400,31200,29600,0
Gabon,GAB,-1,11.75,125000,145000,167000,195000,178000,155000,169000,208000,222000,244000,269000,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,GBR,54,-2,21719000,22936000,23215000,23710000,23341000,23212000,20982000,22307000,22787000,25678000,28039000,30654000,30870000,30142000,28199000,28295000,29306000,29282000,31063000,32613000,34436000,35814000,37651000
Georgia,GEO,42,43.5,85000,117000,313000,317000,384000,387000,302000,298000,313000,368000,560000,983000,1052000,1290000,1500000,2032000,2712000,4106000,4954000,5004000,5256000,5393000,6483000
Ghana,GHA,8,-2,286000,305000,325000,348000,373000,399000,439000,483000,531000,584000,429000,497000,587000,698000,803000,931000,821000,903000,994000,825000,897000,0,0
Gibraltar,GIB,36.1833,-5.3667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,11,-10,0,12000,17000,23000,27000,33000,38000,43000,44000,45000,45000,46100,30000,24000,0,12400,131000,96000,56000,33000,35000,60000,0
Gambia,GMB,13.4667,-16.5667,45000,77000,85000,91000,96000,79000,57000,81000,89000,90000,108000,125000,143000,147000,142000,91000,106000,157000,171000,156000,135000,161000,162000
Guinea-Bissau,GNB,12,-15,0,0,0,0,0,0,7800,0,0,0,5000,11600,15600,18000,16000,22300,36700,35400,35500,36100,43800,0,0
Equatorial Guinea,GNQ,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,GRC,39,22,10130000,9233000,10070000,10916000,12164000,13096000,14057000,14180000,13969000,13313000,14765000,16039000,16165000,15939000,14915000,15007000,16427000,15518000,17920000,22033000,23599000,24799000,27194000
Grenada,GRD,12.1167,-61.6667,108000,108000,111000,116000,125000,129000,123000,132000,142000,134000,99000,119000,130000,130000,114000,110000,118000,125000,128000,150000,155000,156000,168000
Greenland,GRL,72,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,15.5,-90.25,563000,520000,576000,636000,823000,826000,835000,884000,880000,1182000,1316000,1502000,1628000,1715000,1393000,1384000,1434000,1491000,1516000,1739000,1865000,1906000,2113000
