CountryName,CountryCode,Lat,Long,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Netherlands,NLD,52.5,5.75,6574000,6580000,7841000,9312000,9874000,10003000,9500000,9595000,9181000,9646000,10012000,10739000,11008000,10104000,9921000,10883000,11300000,11680000,12783000,13925000,15007000,15828000,17924000
Norway,NOR,62,10,2880000,2746000,2702000,3256000,3223000,3104000,3073000,3111000,3269000,3628000,3824000,4070000,4377000,4347000,4346000,4767000,4963000,4538000,4778000,4855000,5361000,5960000,6252000
Nepal,NPL,28,84,363000,394000,422000,464000,492000,464000,361000,275000,338000,385000,375000,384000,527000,500000,510000,603000,736000,803000,798000,790000,539000,753000,940000
Nauru,NRU,-0.5333,166.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,-41,174,0,0,0,1475000,1596000,1780000,1900000,2026000,2086000,2325000,2353000,2390000,2434000,2371000,2373000,2435000,2511000,2473000,2629000,2772000,3039000,3370000,3555000
Oman,OMN,21,57,279000,349000,376000,424000,503000,571000,829000,817000,1039000,1195000,891000,1066000,1223000,1373000,1521000,1441000,1018000,1241000,1392000,1611000,1909000,2335000,2372000
Pakistan,PAK,30,70,378000,369000,375000,429000,432000,557000,500000,498000,501000,648000,798000,898000,840000,823000,855000,907000,1161000,966000,0,0,0,0,0
Panama,PAN,9,-80,345000,362000,421000,431000,457000,484000,519000,534000,566000,621000,702000,843000,1103000,1247000,1200000,1324000,1473000,1606000,1658000,1745000,2110000,1921000,1843000
Peru,PER,-10,-76,479000,584000,649000,726000,694000,800000,901000,1064000,1136000,1350000,1571000,1721000,1916000,2058000,2140000,2299000,2598000,2846000,3164000,3215000,3456000,3744000,4032000
Philippines,PHL,13,122,1760000,2049000,2223000,2149000,2171000,1992000,1797000,1933000,1907000,2291000,2623000,2843000,3092000,3139000,3017000,3520000,3917000,4273000,4681000,4833000,5361000,5967000,6621000
Palau,PLW,7.5,134.5,53000,69000,74000,64000,55000,58000,54000,59000,63000,89000,81000,82000,88000,81000,71000,85000,111000,120000,108000,140000,162000,138000,123000
Papua New Guinea,PNG,-6,147,42000,61000,66000,67000,67000,58000,54000,54000,56000,59000,69000,78000,104000,114000,121000,140000,158000,168000,174000,182000,185000,179000,0
Poland,POL,52,20,19215000,19410000,19520000,18780000,17950000,17400000,15000000,13980000,13720000,14290000,15200000,15670000,14975000,12960000,11890000,12470000,13350000,14840000,15800000,16000000,16728000,17471000,18258000
Puerto Rico,PRI,18.25,-66.5,3131000,3065000,3242000,3396000,3024000,3341000,3551000,3087000,3238000,3541000,3686000,3722000,3687000,3716000,3183000,3186000,3048000,3069000,3172000,3246000,3542000,3736000,3797000
Peoples Republic of Korea,PRK,40,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,39.5,-8,4572000,4567000,4798000,5539000,5379000,5599000,5392000,5560000,5383000,5654000,5769000,6349000,6788000,6962000,6439000,6756000,7264000,7503000,9177000,10497000,11723000,13359000,15432000
Paraguay,PRY,-23,-58,438000,426000,395000,350000,269000,289000,279000,250000,268000,309000,341000,388000,416000,428000,439000,465000,524000,579000,610000,649000,1215000,1308000,1584000
West Bank and Gaza,PSE,32,35.25,0,220000,210000,200000,300000,310000,43000,33000,37000,56000,88000,123000,264000,387000,396000,522000,449000,490000,545000,556000,432000,400000,503000
French Polynesia,PYF,-15,-140,172000,164000,180000,189000,211000,252000,228000,189000,213000,212000,208000,222000,218000,196000,160000,154000,163000,169000,164000,181000,184000,192000,199000
Qatar,QAT,25.5,51.25,309000,327000,333000,320000,357000,378000,376000,587000,557000,732000,913000,946000,964000,1405000,1481600,1699500,2056700,2323500,2611900,2839200,2941100,2938200,2256500
Romania,ROU,46,25,5445000,5205000,5149000,4831000,5224000,5264000,4938000,4794000,5595000,6600000,5839000,6037000,7722000,8862000,7575000,7498000,7611000,7937000,8019000,8442000,9331000,10223000,10926000
Russian Federation,RUS,60,100,10290000,16208000,17463000,16188000,18820000,21169000,21595000,23309000,22521000,22064000,22201000,22486000,22909000,23676000,21339000,22281000,24932000,28177000,30792000,32421000,33729000,24571000,24390000
Rwanda,RWA,-2,30,0,0,0,0,0,104000,113000,0,0,0,0,494000,566000,507000,502000,504000,688000,815000,864000,926000,987000,932000,0
Saudi Arabia,SAU,25,45,3325000,0,0,0,0,6585000,6727000,7511000,7332000,8599000,8037000,8620000,11531000,14757000,10897000,10850000,14179000,16332000,15772000,18260000,17994000,18044000,16109000
Sudan,SDN,15,30,29000,38000,30000,36000,39000,38000,50000,52000,52000,61000,246000,328000,436000,440000,420000,495000,536000,575000,591000,684000,741000,800000,813000
Senegal,SEN,14,-14,280000,282000,314000,352000,369000,389000,396000,427000,354000,363000,769000,866000,875000,867000,810000,900000,968000,962000,1063000,963000,1006600,1210000,1365000
Singapore,SGP,1.3667,103.8,6070000,6048000,5894000,5122000,5604000,6062000,5857000,5855000,4703000,6553000,7079000,7588000,7957000,7778000,7488000,9161000,10390000,11098000,11899000,11864000,12051000,12914000,13903000
Solomon Islands,SLB,-8,159,11800,10300,13800,15800,0,5200,0,0,6600,5600,9400,11500,13700,16300,18300,20500,22900,23900,24400,20100,21600,23200,25700
Sierra Leone,SLE,8.5,-11.5,13800,21900,7500,12900,10600,15800,24100,28400,38100,43600,40000,33700,32200,36000,37000,39000,52000,60000,81000,44000,24000,55000,0
El Salvador,SLV,13.8333,-88.9167,235000,283000,387000,542000,658000,795000,735000,798000,720000,951000,1127000,1279000,1339000,1385000,1091000,1150000,1184000,1255000,1283000,1345000,1402000,1434000,1556000
San Marino,SMR,43.7667,12.4167,28000,30000,28000,36000,34000,43000,49000,46000,41000,42000,50000,50000,69000,115000,151000,120000,156000,139000,71000,75000,54000,60000,78000
Somalia,SOM,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,44,21,0,0,0,0,0,0,0,312000,339000,392000,453000,469000,696000,646000,645000,683000,764000,810000,922000,1029000,1132000,1281000,1497000
Sao Tome and Principe,STP,1,7,6200,6400,4800,5600,5800,7100,7500,9200,10000,10600,15800,12300,11800,14500,15200,8000,12200,0,0,0,25600,29000,0
Suriname,SUR,4,-56,43000,53000,61000,55000,57000,57000,54000,60000,82000,138000,161000,154000,167000,151000,151000,205000,220000,240000,249000,252000,228000,256000,278000
Slovak Republic,SVK,48.6667,19.5,903000,951000,814000,896000,975000,1053000,1219000,1399000,1387000,1401000,1515000,1612000,1685000,1767000,1298000,1327000,1460000,1528000,1670000,1475000,1721000,2027000,2162000
Slovenia,SVN,46,15,732000,832000,974000,977000,884000,1090000,1219000,1302000,1373000,1499000,1555000,1617000,1751000,1958000,1824000,1869000,2037000,2156000,2259000,2411000,2707000,3032000,3586000
Sweden,SWE,62,15,2310000,2376000,2388000,2573000,2595000,3828000,4108000,4276000,4268000,4676000,4883000,4729000,5224000,4555000,4899000,5183000,5222000,5146000,5229000,5660000,6482000,6782000,7054000
Eswatini,SWZ,-26.5,31.5,300000,315000,269000,284000,289000,281000,283000,256000,461000,459000,837000,873000,869000,756000,908000,868000,879000,888000,968000,939000,873000,947000,921000
Seychelles,SYC,-4.5833,55.6667,121000,131000,130000,128000,125000,130000,130000,132000,122000,121000,129000,141000,161000,159000,158000,175000,194000,208000,230000,233000,276000,303000,350000
Syrian Arab Republic,SYR,35,38,815000,830000,891000,1267000,1386000,2100000,2192000,2661000,2598000,3399000,3571000,4231000,4158000,5430000,6092000,8546000,5070000,0,0,0,0,0,0
Turks and Caicos Islands,TCA,21.75,-71.5833,79000,88000,93000,111000,121000,152000,166000,155000,164000,173000,176000,248000,265000,352000,351000,281000,354000,291700,290600,357000,386000,454000,416400
Chad,TCD,15,19,0,0,0,0,0,0,0,0,0,0,0,46000,77000,61000,70000,71000,77000,86000,97000,119000,120000,98000,87000
Togo,TGO,8,1.1667,53000,58000,92000,69000,70000,60000,57000,58000,61000,83000,81000,94000,86000,74000,150000,202000,300000,235000,327000,282000,273000,338000,496000
Thailand,THA,15,100,6952000,7244000,7294000,7843000,8651000,9579000,10133000,10873000,10082000,11737000,11567000,13822000,14464000,14584000,14150000,15936000,19230000,22354000,26547000,24810000,29923000,32530000,35592000
Tajikistan,TJK,39,71,0,700,2100,3200,4500,7700,5200,0,0,0,0,0,0,325000,207000,160000,183000,244000,208000,213000,414000,344000,431000
Turkmenistan,TKM,40,60,218000,217000,257000,300000,0,3400,5200,10800,8200,14800,11600,5600,8200,0,0,0,0,0,0,0,0,0,0
Timor-Leste,TLS,-8.55,125.5167,0,0,0,0,0,0,0,0,0,0,0,14000,22000,36000,44000,40000,51000,58000,79000,60000,62000,66000,74000
Tonga,TON,-20,-175,29000,27000,26000,27000,31000,35000,32000,37000,40000,41000,42000,39000,46000,50000,45700,47100,46000,47400,48200,50400,53800,59100,62500
Trinidad and Tobago,TTO,11,-61,260000,266000,324000,334000,358000,399000,383000,384000,409000,443000,463000,461000,449000,437000,419000,388000,431000,455000,434000,412000,440000,409000,395000
Tunisia,TUN,34,9,4120000,3885000,4263000,4718000,4832000,5058000,5387000,5064000,5114000,5998000,6378000,6550000,6762000,7050000,7797000,7828000,5746000,6999000,7352000,7163000,5359000,5724000,7052000
Turkey,TUR,39,35,7083000,7966000,9040000,8960000,6893000,9586000,10783000,12790000,13341000,16826000,20273000,18916000,26122000,29792000,30187000,31364000,34654000,35698000,37795000,39811000,39478000,30289000,37601000
Tuvalu,TUV,-8,178,900,1000,1000,1000,1100,1100,1100,1300,1400,1300,1100,1100,1100,1700,1600,1700,1200,1100,1300,1400,2400,2500,2500
Tanzania,TZA,-6,35,285000,315000,347000,450000,564000,459000,501000,550000,552000,566000,590000,622000,692000,750000,695000,754000,843000,1043000,1063000,1113000,1104000,1233000,1275000
Uganda,UGA,1,32,160000,174000,175000,195000,189000,193000,205000,254000,305000,512000,468000,539000,642000,844000,807000,946000,1151000,1197000,1206000,1266000,1303000,1323000,1402000
Ukraine,UKR,49,32,3716000,3854000,7558000,6208000,4232000,6431000,9174000,10517000,12514000,15629000,17631000,18936000,23122000,25449000,20798000,21203000,21415000,23013000,24671000,12712000,12428000,13333000,14230000
Uruguay,URY,-33,-56,2022000,2152000,2316000,2163000,2073000,1968000,1892000,1258000,1420000,1756000,1808000,1749000,1753000,1938000,2055000,2353000,2857000,2695000,2683000,2682000,2773000,3037000,3674000
United States,USA,38,-97,43318000,46489000,47767000,46377000,48509000,51238000,46927000,43581000,41218000,46086000,49206000,50977000,56135000,58007000,55103000,60010000,62821000,66657000,69995000,75022000,77774000,76407000,76941000
Uzbekistan,UZB,41,64,92000,173000,960000,811000,487000,302000,345000,332000,231000,262000,242000,560000,903000,1069000,1215000,975000,0,0,1969000,1862000,1918000,2027000,2690000
St. Vincent and the Grenadines,VCT,13.25,-61.2,60000,58000,65000,67000,68000,73000,71000,78000,79000,87000,96000,97000,90000,84000,75000,72000,74000,74000,72000,71000,75000,79000,76000
Venezuela,VEN,8,-66,700000,759000,814000,685000,587000,469000,584000,432000,337000,486000,706000,748000,756000,699000,562000,526000,595000,988000,986000,857000,789000,601000,427000
British Virgin Islands,VGB,18.5,-64.5,219000,244000,244000,279000,284000,272000,296000,282000,278000,304000,337000,356000,358000,346000,309000,330000,338000,351000,366000,386000,393000,408000,335000
Virgin Islands (U.S.),VIR,18.3333,-64.8333,454000,373000,393000,422000,484000,546000,527000,520000,538000,563000,594000,571000,587000,574000,563000,572000,567000,619000,590000,615000,642000,667000,0
Vietnam,VNM,16,106,1351000,1607000,1716000,1520000,1782000,2140000,2330000,2628000,2429000,2928000,3477000,3583000,4229000,4236000,3747000,5050000,6014000,6848000,7572000,7874000,7944000,10013000,12922000
Vanuatu,VUT,-16,167,44000,46000,50000,52000,51000,58000,53000,49000,50000,61000,62000,68000,81000,90500,100700,97200,94000,108200,110000,109000,90000,95100,109000
Samoa,WSM,-13.5833,-172.3333,68000,73000,68000,78000,85000,88000,88000,89000,92000,98000,102000,110000,117000,118000,122000,122000,121000,126000,116000,120400,128000,134000,146000
Yemen,YEM,15,48,61000,74000,80000,88000,58000,73000,76000,98000,155000,274000,336000,1061000,948000,1023000,1028000,1025000,829000,874000,990000,1017500,366700,0,0
South Africa,ZAF,-29,24,4488000,4915000,4976000,5732000,5890000,5872000,5787000,6430000,6505000,6678000,7369000,8396000,9091000,9592000,7012000,8074000,8339000,9188000,9537000,9549000,8904000,10044000,10285000
Zambia,ZMB,-15,30,163000,264000,341000,362000,404000,457000,492000,565000,413000,515000,669000,757000,897000,812000,710000,815000,920000,859000,915000,947000,932000,956000,1083000
Zimbabwe,ZWE,-20,30,1416000,1597000,1336000,2090000,2250000,1967000,2217000,2041000,2256000,1854000,1559000,2287000,2506000,1956000,2017000,2239000,2423000,1794000,1833000,1880000,2057000,2168000,2423000
